mayan_mayanforwarder2,1,0x337685fdab40d39bd02028545a4ffa7d287cc3e2,"Mayan: MayanForwarder2"
merkl_distributor,1,0x0e6590f64a82cbc838b2a087281689de1a5bc8e0,"Merkl: Distributor"
metamask_metabridge,1,0x0439e60f02a8900a951603950d8d4527f400c3f1,"Metamask: MetaBridge"
metamask_metaswap,1,0x881d40237659c251811cec9c364ef91dc08d300c,"Metamask: MetaSwap"
midas_rwa_mhyperdepositvault,1,0xd2b5f8f1ded3d6e00965b8215b57a33c21101c63,"Midas_rwa: MHyperDepositVault"
mimic_swapper,1,0x3c11f6265ddec22f4d049dde480615735f451646,"Mimic: Swapper"
moca_mocastaking,1,0x9a98e6b60784634ae273f2fb84519c7f1885aed2,"Moca: MocaStaking"
morpho_blue_bundler3,1,0x6566194141eefa99af43bb5aa71460ca2dc90245,"Morpho_blue: Bundler3"
odos_v2_odosrouterv2,1,0xcf5540fffcdc3d510b18bfca6d2b9987b0772559,"Odos_v2: OdosRouterV2"
okx_dex_dexrouter,1,0x2e1dee213ba8d7af0934c49a23187babeaca8764,"Okx_dex: DexRouter"
openocean_v2_openoceanexchangeproxy,1,0x9a4f5f66220c644443d16033577ab7656d916838,"Openocean_v2: OpenOceanExchangeProxy"
opensea_seadrop,1,0x00005ea00ac477b1030ce78506496e8c2de24bf5,"Opensea: SeaDrop"
opensea_transferhelper,1,0x0000000000c2d145a2526bd8c716263bfebe1a72,"Opensea: TransferHelper"
pancakeswap_ifoinitializablev10,56,0xd8210a960f0f15778e00c62dad14d3319712e5cb,"Pancakeswap: IFOInitializableV10"
pancakeswap_infinity_universalrouter,56,0xd9c500dff816a1da21a48a732d3498bf09dc9aeb,"Pancakeswap_infinity: UniversalRouter"
pancakeswap_v2_pancakerouter,56,0x10ed43c718714eb63d5aa57b78b54704e256024e,"Pancake swap router on BNC"
pancakeswap_v2_smartchefinitializable,56,0xede1786ed8e6ac6d2fde4b69c7a219d6c7d56b81,"Pancakeswap_v2: SmartChefInitializable"
pancakeswap_xchain_xchainsender,1,0xe82e2d3b9db59f7c7b438239d92e2190a64e26ce,"Pancakeswap_xchain: XChainSender"
paraswap_augustusswapper6_0,1,0x4ff0dec5f9a763aa1e5c2a962aa6f4edfee4f9ea,"Paraswap: AugustusSwapper6.0"
pendle_pendlemultitokenmerkledistributor,1,0x946afc64dcb64bb96688ead4f0d0ac67b1dd7a36,"Pendle: PendleMultiTokenMerkleDistributor"
pendle_routerv4,1,0x373dba2055ad40cb4815148bc47cd1dc16e92e44,"Pendle: routerv4"
pendle_votingescrowpendlemainchain,1,0x4f30a9d41b80ecc5b94306ab4364951ae3170210,"Pendle: VotingEscrowPendleMainchain"
pendlevotingcontroller_pendlevotingcontrollerupg,1,0xca10fb0f2ce19cde44b42df2f42607977dfa4549,"Pendlevotingcontroller: PendleVotingControllerUpg"
polygon_rootchainmanager,1,0xf0235dca8fb0d3999685724dcbb9dd00c5d62dfa,"Polygon: RootChainManager"
pulsechain_pulsechainomnibridge,1,0xb7df1e00ae030e966e635ede273625240546b873,"Pulsechain: PulseChainOmnibridge"
rainbow_swap_aggregator_rainbowrouter,1,0x00000000009726632680fb29d3f7a9734e3010e2,"Rainbow_swap_aggregator: RainbowRouter"
rango_exchange_rangodiamond,1,0xE7746A3ACA8F94fc09C4E6d9d69BFE8384e971C7,"Rango_exchange: RangoDiamond"
relay_relaydepository,1,0x4cd00e387622c35bddb9b4c962c136462338bc31,"Relay: RelayDepository"
relay_relayrouter,1,0xf5042e6ffac5a625d4e7848e0b01373d8eb9e222,"Relay: RelayRouter"
rhino_fi_dvfdepositcontract,1,0x3aa8e099b2c161edc19863f8d9820d65de501186,"Rhino_fi: DVFDepositContract"
seaport_seaport,1,0x0000000000000068f116a894984e2db1123eb395,"Seaport: Seaport"
socket_v2_socketgateway,1,0x47b7cbccf4149fe371a605dc64f14695c3f5ccd3,"Socket_v2: SocketGateway"
sorare_l2_bridge_starkexchange,1,0xdf2f24751f7e84ccdcd39e7b49904fab0fb0f583,"Sorare_l2_bridge: StarkExchange"
sushiswap_redsnwapper,1,0xac4c6e212a361c968f1725b4d055b47e63f80b75,"Sushiswap: RedSnwapper"
symbiotic_vault,1,0xdd649adab2e67cadc2ec29d75abe73f3df08065c,"Symbiotic: Vault"
thorswap_thorchain,1,0xd37bbe5744d730a1d98d8dc97c42f0ca46ad7146,"Thorswap: THORChain"
tokenlon_tokenlon,1,0x0b9f13ffab8448089f50073cf24bbe5c7bd8675a,"Tokenlon: Tokenlon"
transitswap_transitswaprouterv5,1,0x00000047bb99ea4d791bb749d970de71ee0b1a34,"Transitswap: TransitSwapRouterV5"
zeroex_allowanceholder,1,0x0000000000001ff3684f28c67538d4d072c22734,"Zeroex: AllowanceHolder"
zksync_bridgehub,1,0xc89423b4909080fb8f8a43df5e1c27001e55c24b,"Zksync: Bridgehub"
